entity,code,pop1990,pop2000,pop2012,pop2024,is_country,elec,steel_name,s1990,s2000,s2012,s2023,s2024,s2025,pop2024_m,pc_steel_kg,pc_elec_kwh,r_steel1990,r_elec1990,score1990,r_steel2000,r_elec2000,score2000,r_steel2012,r_elec2012,score2012,category
India,IND,864972221.0,1057922731.0,1278674501.0,1450935785.0,True,2036.52,India,15.0,26.9,77.3,140.8,149.4,164.9,1450.935785,102.96803038736824,1403.5907178345594,1.7888876668997447,2.606500330109944,4.3953879970096885,1.0173250809623553,1.3145266681645784,2.3318517491269337,0.19458654083955135,0.3854097962920292,0.5799963371315806,工业化中期国家
China,CHN,1153582725.0,1269581174.0,1369520866.0,1419321284.0,True,10086.88,China,66.4,128.5,724.7,1028.9,1005.1,960.8,1419.321284,708.1553777361659,7106.833465903271,12.302948951389917,13.19755363122648,25.5005025826164,6.996581601873112,6.655873395591593,13.652454997464705,1.338255231378213,1.9514543688354637,3.2897096002136768,中国
United States,USA,253373387.0,281484126.0,317115349.0,345426566.0,True,4391.02,United States,89.7,101.8,88.6,81.4,79.5,82.0,345.426566,230.15021954043917,12711.876943477475,3.9984535755543376,23.606248622539304,27.60470219809364,2.27388627175493,11.905252031309873,14.179138303064803,0.43493242441715513,3.4905345561372347,3.92546698055439,发达国家
Indonesia,IDN,183501097.0,216077789.0,252698525.0,283487933.0,True,371.54,Indonesia,2.8,2.9,2.3,16.8,18.6,19.0,283.487933,65.61125831059624,1310.6025221891896,1.1398797312141038,2.43381910646954,3.5736988376836436,0.6482398315454011,1.2274389855180823,1.8756788170634833,0.1239905992836725,0.35987631200357756,0.48386691128725007,工业化起步国家
Pakistan,PAK,116155584.0,154879124.0,207667129.0,251269160.0,True,174.96,Pakistan,0.8,1.0,1.6,5.3,4.1,3.6,251.26916,16.317163634407024,696.3051096282568,0.2834818989405144,1.2930546455189764,1.5765365444594908,0.16121372578459592,0.6521214654352618,0.8133351912198578,0.030835788700506156,0.19119733911674194,0.2220331278172481,准备工业化国家
Nigeria,NGA,97120926.0,126382490.0,176200627.0,232679482.0,True,37.56,Nigeria,,,,1.2,1.2,1.2,232.679482,5.157309057444094,161.42377349800014,0.08959913608664967,0.29976766985126496,0.3893668059379146,0.050954260605686426,0.15118071987983261,0.20213498048551903,0.009746160296095596,0.04432510337239782,0.054071263668493415,准备工业化国家
Brazil,BRA,149143223.0,174018278.0,196876113.0,211998565.0,True,745.72,Brazil,20.6,27.9,34.7,32.0,33.9,33.3,211.998565,159.90674276498052,3517.570979784698,2.7780972298900637,6.532210425371783,9.310307655261846,1.5798800794558754,3.2943655164822863,4.874245595938161,0.3021879685811168,0.9658843547021594,1.2680723232832762,工业化中期国家
Bangladesh,BGD,111633722.0,134544303.0,155070110.0,173562366.0,True,101.74,Bangladesh,,,,5.0,4.5,4.5,173.562366,25.927279650013528,586.1869847983058,0.4504406914231875,1.0885627483631088,1.5390034397862964,0.256161759818603,0.5489908235052768,0.8051525833238798,0.0489967579402659,0.1609601741658021,0.209956932106068,准备工业化国家
Russia,RUS,148979537.0,146717784.0,144291025.0,144820421.0,True,1209.31,Russia,89.6,59.1,70.6,76.0,71.0,67.8,144.820421,490.2623505009698,8350.410747666589,8.517442443611653,15.506905320609322,24.024347764220977,4.843796502077982,7.820540189144855,12.664336691222836,0.9264861581692888,2.2929263241197173,3.2194124822890062,工业化国家
Ethiopia,ETH,47609760.0,67411496.0,95798771.0,132059770.0,True,25.2,,,,,,0.0,,132.05977,0.0,190.82268581870164,0.0,0.3543621279757835,0.3543621279757835,0.0,0.17871414096159663,0.17871414096159663,0.0,0.052397705068004306,0.052397705068004306,准备工业化国家
Mexico,MEX,82820170.0,98625553.0,116818208.0,130861001.0,True,355.18,Mexico,8.7,15.6,18.1,16.4,13.8,13.5,130.861001,105.45540607625338,2714.177618127803,1.8321014263166553,5.040290426358467,6.872391852675123,1.0419003754936693,2.5419510230652254,3.5838513985588945,0.19928712440172786,0.7452818187034501,0.944568943105178,工业化中期国家
Japan,JPN,123399767.0,127027794.0,127928283.0,123753041.0,True,1016.39,Japan,110.3,106.4,107.2,87.0,84.0,80.7,123.753041,678.7711988427016,8213.050699901589,11.792450741151812,15.251824544358712,27.044275285510523,6.706265645946338,7.691896244985674,14.398161890932013,1.2827257072649576,2.2552088418400915,3.5379345491050493,发达国家
Egypt,EGY,58396625.0,73083287.0,93161000.0,116538256.0,True,237.39,Egypt,2.2,2.8,6.6,10.4,10.7,10.6,116.538256,91.81534345253974,2037.0134936634026,1.5951294291685494,3.782781031683835,5.377910460852385,0.9071364321532188,1.9077559624808382,2.814892394634057,0.17351045767518924,0.5593403729886054,0.7328508306637946,工业化中期国家
Philippines,PHL,62854668.0,79625401.0,100175511.0,115843663.0,True,124.17,Philippines,,,,1.9,1.8,1.8,115.843663,15.538182697140714,1071.8756363910902,0.26994848098366614,1.9904977744512926,2.260446255434959,0.15351738700748946,1.0038603783058404,1.15737776531333,0.02936368900711241,0.29432466702916205,0.32368835603627444,工业化起步国家
Democratic Republic of Congo,COD,36684065.0,50507445.0,73254623.0,109276264.0,True,15.92,,,,,,0.0,,109.276264,0.0,145.68580053212654,0.0,0.2705418911327382,0.2705418911327382,0.0,0.13644139102589778,0.13644139102589778,0.0,0.04000363780714765,0.04000363780714765,准备工业化国家
Vietnam,VNM,65504551.0,77154016.0,89510355.0,100987685.0,True,303.58,Vietnam,0.1,0.3,5.3,19.2,22.0,24.7,100.987685,217.8483445778562,3006.1091112247996,3.784730225525035,5.582413941039975,9.367144166565009,2.152343634732383,2.8153581695196794,4.967701804252062,0.4116846329832096,0.8254428342018466,1.2371274671850563,工业化中期国家
Iran,IRN,58380098.0,66418661.0,79370583.0,91567737.0,True,395.79,Iran,1.4,6.6,14.5,30.7,31.4,31.8,91.567737,342.9155402191495,4322.373938322839,5.957551857392372,8.026748078299168,13.984299935691539,3.3880086703056187,4.048100161613244,7.4361088319188635,0.6480336520019144,1.186873949720248,1.8349076017221626,工业化中期国家
Turkey,TUR,56015627.0,65425957.0,75197196.0,87473800.0,True,341.23,Turkey,9.4,14.3,35.9,33.7,36.9,38.1,87.4738,421.8405968415686,3900.939481307546,7.328735319580166,7.244134573256352,14.572869892836518,4.167788950809178,3.6534075880653476,7.821196538874526,0.7971843514563568,1.0711529163984452,1.868337267854802,工业化中期国家
