name,2020,2021,2022,2023,2024,est2020,est2021,est2022,est2023,est2024
Production of crude steel,,,,,,False,False,False,False,False
Austria,6765100,7884000,7512200,7133100,7129900,False,False,False,False,False
Azerbaijan,264506,308402,391865,323611,352406,False,False,False,False,False
Belarus,2559577,2473681,2070000,2284000,2330000,False,False,False,False,False
Belgium,6120000,6910000,7030400,5863600,7135800,False,False,False,False,False
Bosnia Herzegovina,740194,774832,653246,582054,524194,False,False,False,False,False
Bulgaria,483800,547500,481500,489100,448700,False,False,False,False,False
Croatia,45273,185143,169135,212433,153250,False,False,False,False,False
Czech Republic,2900000,4700000,4200000,3400000,2400000,False,False,False,False,False
Finland,3482000,4322000,3462000,3506000,3663800,False,False,False,False,False
France,11595698,13946700,12118600,9996200,10754987,False,False,False,False,False
Germany,35658000,40241200,36860400,35438300,37234100,False,False,False,False,False
Greece,1408000,1498000,1543000,1181000,1336000,False,False,False,False,False
Hungary,1513000,1099800,857200,477300,240000,False,False,False,False,False
Italy,20379100,24412700,21598100,21055800,20002000,False,False,False,False,False
Luxembourg,1886000,2073000,1875000,1900000,1825000,False,False,False,False,False
Moldova (a),465000,570000,560000,500000,400000,False,False,False,False,True
Montenegro,19364,3042,,,5000,False,False,False,False,False
Netherlands,6053700,6620400,6143000,4676300,6395500,False,False,False,False,False
North Macedonia,236520,271811,303409,301768,305000,False,False,False,False,False
Norway,623800,622500,703900,689900,610100,False,False,False,False,False
Poland,7855900,8552506,7521057,6522172,7166777,False,False,False,False,False
Portugal,2202800,1953000,1854900,2039700,1948300,False,False,False,False,False
Romania,2818866,3390661,2626284,1646634,1364300,False,False,False,False,False
Russia,73600000,77560000,71930000,74706000,71006900,False,False,False,False,False
Serbia,1455700,1667400,1674100,1454000,1393200,False,False,False,False,False
Slovakia,3443500,4862800,3872200,4376900,3865800,False,False,False,False,False
Slovenia,585200,661900,601256,526100,594600,False,False,False,False,False
Spain,10998400,14204900,11573100,11435400,11872500,False,False,False,False,False
Sweden,4408700,4678300,4404200,4258400,4024800,False,False,False,False,False
Switzerland,1175000,1291100,1205900,1200000,1200000,False,False,False,False,False
Turkey,35810300,40360000,35133800,33713700,36893400,False,False,False,False,False
Ukraine,20616400,21365600,6263200,6227700,7575200,False,False,False,False,False
United Kingdom,7085700,7221600,5962800,5616500,4011900,False,False,False,False,False
Algeria,3000000,3491300,4300000,4421000,4520000,False,False,False,False,False
Angola,250000,275000,270000,190000,285000,False,False,False,False,False
"Congo, Democratic Republic",30000,30000,30000,30000,30000,True,True,True,True,True
Egypt,8228700,10293500,9818500,10353600,10730900,False,False,False,False,False
Ghana,400000,400000,400000,400000,245000,True,True,True,True,False
Kenya,385000,485000,450000,1365000,1585000,False,False,False,False,False
Libya,538176,648910,687814,902300,871900,False,False,False,False,False
Mauritania,5000,5000,5000,5000,5000,True,True,True,True,True
Morocco,1000000,1050000,1550000,1397000,1415000,False,False,False,False,False
Nigeria,650000,650000,650000,1190000,1200000,True,True,True,True,True
South Africa,3876500,5019500,4495600,4953100,4716900,False,False,False,False,False
Tunisia,77600,85100,75500,69000,60000,False,False,False,False,False
Uganda,30000,30000,30000,30000,30000,True,True,True,True,True
Zimbabwe,5196,3921,4000,4500,60000,False,False,True,True,True
Canada,10986000,12976290,12097573,12168092,12349087,False,False,False,False,False
Cuba,185200,230800,200400,175400,178700,False,False,False,False,False
Dominican Republic,60000,60000,60000,60000,60000,True,True,True,True,True
El Salvador,81600,102800,88900,83600,85100,False,False,False,False,False
Guatemala,242600,306900,271100,241300,249500,False,False,False,False,False
Mexico,16802000,18453600,18386300,16422500,13784100,False,False,False,False,False
USA,72732100,85791400,80535000,81392200,79456600,False,False,False,False,False
Argentina,3651100,4875300,5094000,9856400,3863000,False,False,False,False,False
Brazil,31415000,36071000,34089000,32030000,34172000,False,False,False,False,False
Chile,1157000,1318000,1151000,1162000,949000,False,False,False,False,False
Colombia,1148900,1338200,1319800,1373900,1284400,False,False,False,False,False
Ecuador,482200,611600,536300,484200,492600,False,False,False,False,False
Paraguay,23300,26500,23600,21200,21900,False,False,False,False,False
Peru,730700,1234100,1765200,1558900,1602600,False,False,False,False,False
Uruguay,49100,62800,54900,48300,50200,False,False,False,False,False
Venezuela,29200,29400,27100,27400,28800,False,False,False,False,False
Production of crude steel,,,,,,False,False,False,False,False
Bahrain,900000,1167300,1170300,1265563,1205000,False,False,False,False,False
China,1064766800,1032788000,1013003000,1019081000,1005091000,False,False,False,False,False
India,100256500,118201400,125377200,140706000,149421000,False,False,False,False,False
Indonesia,12871400,14834800,15567900,16845700,18000000,False,False,False,False,False
Iran (b),22630121,21659618,23168319,22096126,28321752,False,False,False,False,False
Iraq,1980000,2750000,3300000,2755000,3020000,False,False,False,False,False
Israel,300000,300000,300000,300000,300000,True,True,True,True,True
Japan,83186485,96181132,88946808,86748669,83785917,False,False,False,False,False
Jordan,350000,350000,350000,300000,300000,True,True,True,True,True
Kazakhstan,4009402,4526071,3370999,3923304,4177900,False,False,False,False,False
Korea (Rep. of),67082000,70418000,65846000,66683000,63513000,False,False,False,False,False
"Korea, Dem. P.R. of",707000,598000,289000,347000,350000,False,False,False,False,True
Kuwait,1300000,1300000,900000,1000000,1014000,True,True,True,True,True
Malaysia,6618500,6739100,7206600,7529800,8800000,False,False,False,False,False
Mongolia,18800,39400,28500,41200,39500,True,True,True,True,True
Myanmar,350000,400000,400000,500000,500000,True,True,True,True,True
Oman,2500000,2800000,2900000,2900000,3030000,False,False,False,False,False
Pakistan,3803000,5437700,6013000,5337000,4127000,False,False,False,False,False
Philippines,892300,1554800,1600000,1650000,1900000,False,False,False,False,False
Qatar,1218100,1001801,1081916,1146437,1176500,False,False,False,False,False
Saudi Arabia,7775000,8735000,9860200,9940400,9605700,False,False,False,False,False
Singapore,419500,567900,547500,465200,300000,False,False,False,False,False
Sri Lanka,30000,30000,30000,30000,30000,True,True,True,True,True
Syria,5000,5000,,,,True,True,True,True,True
Taiwan,20498000,22140000,19927000,19149200,19195300,False,False,False,False,False
Thailand,4467200,5472900,5316400,4976300,4918400,False,False,False,False,False
United Arab Emirates,2722000,2997500,3696400,3772500,3725000,False,False,False,False,False
Uzbekistan,939200,1050000,950000,1000000,1000000,False,False,False,False,False
Vietnam,23917600,24932300,21866400,18955100,19266700,False,False,False,False,False
Australia,5489000,5779600,5622225,5256284,4657826,False,False,False,False,False
New Zealand,585700,645700,569934,554500,566000,False,False,False,False,False
Note(s),,,,,,False,False,False,False,False
"Unless otherwise indicated, these figures",,,,,,False,False,False,False,False
(a) Production from the region east of the,,,,,,False,False,False,False,False
(b) Years ended March following that,,,,,,False,False,False,False,False
