code,eia_name,eia_1980,eia_1981,eia_1982,eia_1983,eia_1984,eia_1985,eia_1986,eia_1987,eia_1988,eia_1989,eia_1990,eia_1991,eia_1992,eia_1993,eia_1994,eia_1995,eia_1996,eia_1997,eia_1998,eia_1999,eia_2000,eia_2001,eia_2002,eia_2003,eia_2004,eia_2005
CAN,Canada,367.913,380.33399999999995,378.518,397.445,427.076,448.07300000000004,457.59400000000005,484.31,491.328,485.46,468.68655,494.30125,505.59815,518.1187,539.7994000000001,544.1680500000001,557.2649,557.5837999999999,545.6559,562.654,587.872,571.7860000000001,583.339,572.184,582.164,609.6
MEX,Mexico,63.604,73.25099999999999,80.351,82.027,86.726,93.132,96.90899999999999,104.599,109.86099999999999,117.72900000000001,116.5738,120.48125,123.8298,129.359462,139.6508,144.9137,154.4833,166.12419,172.27544999999998,182.53105,193.91385,198.61645,204.154,205.97889999999998,212.07215000000002,222.4
USA,United States,2289.600789,2297.973836,2244.37224,2313.4455660000003,2419.4658190000005,2473.0023949999995,2490.470889,2575.287284,2707.4111300000004,2967.305527,3041.4960199999996,3078.3403230000004,3088.058783,3201.226674,3250.900211,3356.21249,3447.2756990000003,3496.212188,3624.762778,3700.9067090000003,3807.643903,3745.467098,3867.1951799999997,3891.7202700000003,3979.043474,4061.980176
ARG,Argentina,41.849000000000004,40.475,41.09,41.684,44.013,45.503,54.062,58.34700000000001,56.34,50.57299999999999,48.287000000000006,52.15,58.665,65.375,60.05,64.917,66.84700000000001,69.79899999999999,71.46400000000001,77.37299999999999,85.269,86.498,81.149,88.175,95.70400000000001,101.059381
BOL,Bolivia,1.568,1.655,1.658,1.6669999999999998,1.519,1.5119999999999998,1.5179999999999998,1.532,1.881,1.996,2.124,2.3440000000000003,2.339,2.412,2.724,2.901,3.117,3.347,3.536,3.755,3.814,3.843,4.0489999999999995,4.143,4.276999999999999,5.041
BRA,Brazil,138.28236,140.13032,150.00449999999998,160.41732000000002,178.06532,190.63702,199.20873999999998,200.4097,211.745,218.4597,219.62128,231.20768,238.40394000000003,248.613142,256.573272,271.78721,287.08655,303.48155,317.08331,329.3233,342.45059999999995,323.03880000000004,340.0729999999999,358.60699999999997,380.9372,396.36400000000003
CHL,Chile,11.852,12.083,12.001000000000001,12.601,13.439000000000002,14.004000000000001,14.873999999999999,15.562999999999999,16.783,17.527,19.581,18.191000000000003,20.321,21.296,22.788,27.343,29.89,32.251000000000005,34.185,36.358,39.786,42.387,43.117,47.033,49.863,48.156
COL,Colombia,19.663,19.968,25.872,26.729,29.311999999999998,29.642,32.983999999999995,30.637,32.998000000000005,34.377,35.603,36.317,32.713,37.467,40.717,42.611000000000004,43.708,44.938,44.74,43.191,42.92400000000001,42.451,44.231,46.071,49.234,50.474
CUB,Cuba,10.236,10.802,11.33,11.857999999999999,12.592,12.508000000000001,13.477,13.888,14.883000000000001,15.508000000000001,14.146,12.11,10.860999999999999,10.355,11.256,11.72,12.454,13.312,13.309,13.636000000000001,14.142,14.393999999999998,14.771,14.969000000000001,14.724,14.646999999999998
DOM,Dominican Republic,3.211,3.647,3.28,3.483,4.134,4.2669999999999995,4.654,4.526,4.295,3.2859999999999996,3.496,3.689,3.957,5.186999999999999,4.803999999999999,5.179,6.261,6.835999999999999,7.268,8.562,8.064,9.717,10.863000000000001,12.757,13.014,12.218
ECU,Ecuador,3.186,3.535,3.904,4.117,4.1129999999999995,4.706,5.196999999999999,5.257,5.504,5.636,6.215,6.807,7.001,7.25,8.008,8.181000000000001,9.097,10.067,10.562000000000001,10.048,10.356,10.74,11.551,11.212389,12.200338,12.943
GTM,Guatemala,1.87,1.634,1.609,1.613,1.58,1.6440000000000001,1.858,1.998,2.198,2.367,2.629,2.834,2.862,2.9859999999999998,3.18,3.2969999999999997,3.5839999999999996,4.009,4.276,4.9879999999999995,5.808,5.61,6.195,6.3,6.72,7.281000000000001
HTI,Haiti,0.318,0.328,0.41800000000000004,0.44,0.468,0.515,0.5670000000000001,0.5720000000000001,0.595,0.595,0.636,0.6080000000000001,0.544,0.486,0.41600000000000004,0.53,0.624,0.5529999999999999,0.639,0.54,0.528,0.5720000000000001,0.527,0.515,0.527,0.535
