entity,code,pop2010,steel_kt,steel_src,elec_twh,elec_src,pc_steel_kg,pc_elec_kwh,s_mature,s_late,s_mid,s_start,category
China,CHN,1351561505.0,638743.0,worldsteel-SSY2012,4207.16,OWID-Ember2010,472.5963247969244,3112.8143147285036,1.959694390674437,2.6129258542325826,7.838777562697748,15.677555125395497,工业化中后期国家
India,IND,1243481565.0,68976.0,worldsteel-SSY2012,936.39,OWID-Ember2010,55.47006239694434,753.038908140146,0.32693488302739737,0.4359131773698631,1.3077395321095895,2.615479064219179,工业化起步国家
United States,USA,311062785.0,80495.0,worldsteel-SSY2012,4113.94,OWID-Ember2010,258.77412497287327,13225.432929882627,3.95329354490284,5.271058059870453,15.81317417961136,31.62634835922272,后工业化国家
Indonesia,IDN,246305327.0,3664.0,worldsteel-SSY2012,177.56,OWID-Ember2010,14.875845539467361,720.8938684464588,0.21741308096028308,0.2898841079470441,0.8696523238411323,1.7393046476822647,准备工业化国家
Pakistan,PAK,199239048.0,800.0,worldsteel-SSY2012,94.54,OWID-Ember2010,4.01527716594992,474.50537908613177,0.12866453768640773,0.17155271691521035,0.5146581507456309,1.0293163014912619,准备工业化国家
Brazil,BRA,193701931.0,32948.0,worldsteel-SSY2012,515.8,OWID-Ember2010,170.09639413455307,2662.85419735955,1.0909545346762703,1.454606046235027,4.363818138705081,8.727636277410163,工业化中期国家
Nigeria,NGA,166642888.0,100.0,worldsteel-SSY2012,26.13,OWID-Ember2010,0.6000856154149224,156.80237130791923,0.040700806865517115,0.05426774248735615,0.16280322746206846,0.3256064549241369,准备工业化国家
Bangladesh,BGD,152201978.0,0.0,无产量(SSY2012未列),40.86,OWID-Ember2010,0.0,268.45906036779627,0.06711476509194907,0.08948635345593209,0.26845906036779627,0.5369181207355925,准备工业化国家
Russia,RUS,143934468.0,66942.0,worldsteel-SSY2012,1038.02,OWID-Ember2010,465.08665318442,7211.7541713497,2.9656551757984753,3.9542069010646332,11.862620703193901,23.725241406387802,成熟工业化国家
Japan,JPN,128185273.0,109599.0,worldsteel-SSY2012,1156.04,OWID-Ember2010,855.0046150777399,9018.508701853762,4.39213871315779,5.856184950877053,17.56855485263116,35.13710970526232,后工业化国家
Mexico,MEX,113623898.0,16870.0,worldsteel-SSY2012,275.57,OWID-Ember2010,148.4722870535563,2425.282047619947,0.9775012295388776,1.3033349727185035,3.9100049181555105,7.820009836311021,工业化中期国家
Philippines,PHL,96337127.0,1050.0,worldsteel-SSY2012,67.73,OWID-Ember2010,10.899224760979223,703.0518981534503,0.20301103644081064,0.2706813819210809,0.8120441457632426,1.6240882915264852,准备工业化国家
Ethiopia,ETH,90538518.0,0.0,无产量(SSY2012未列),5.01,OWID-Ember2010,0.0,55.335564472128866,0.013833891118032217,0.018445188157376287,0.05533556447212887,0.11067112894425774,准备工业化国家
Egypt,EGY,89196073.0,6676.0,worldsteel-SSY2012,144.43,OWID-Ember2010,74.84634441249449,1619.241690158265,0.5919262835708026,0.78923504476107,2.3677051342832103,4.7354102685664206,工业化中期国家
Vietnam,VNM,87455148.0,4314.0,worldsteel-SSY2012,91.72,OWID-Ember2010,49.32814246681053,1048.7661629707607,0.38551189690971654,0.5140158625462887,1.5420475876388662,3.0840951752777324,工业化起步国家
Germany,DEU,80830916.0,43830.0,worldsteel-SSY2012,624.21,OWID-Ember2010,542.243019985076,7722.416507070141,3.2862116767302254,4.381615568973634,13.144846706920902,26.289693413841803,后工业化国家
Iran,IRN,77420851.0,11995.0,worldsteel-SSY2012,235.68,OWID-Ember2010,154.93242253304604,3044.141170703484,1.148366349008486,1.5311551320113148,4.593465396033944,9.186930792067889,工业化中期国家
Turkey,TUR,73346766.0,29143.0,worldsteel-SSY2012,211.18,OWID-Ember2010,397.3317651114979,2879.199881832554,1.7131293832368832,2.2841725109825113,6.852517532947533,13.705035065895066,工业化中后期国家
Thailand,THA,68579443.0,4145.0,worldsteel-SSY2012,157.57,OWID-Ember2010,60.440852516110404,2297.627293356699,0.7255089546294506,0.9673452728392676,2.9020358185178026,5.804071637035605,工业化中期国家
Democratic Republic of Congo,COD,68563038.0,30.0,worldsteel-SSY2012,7.83,OWID-Ember2010,0.437553540145056,114.20147397785962,0.029644252344827544,0.039525669793103395,0.11857700937931018,0.23715401875862036,准备工业化国家
France,FRA,63417366.0,15414.0,worldsteel-SSY2012,562.36,OWID-Ember2010,243.05645239192054,8867.602605885586,2.824541782451198,3.7660557099349306,11.298167129804792,22.596334259609584,后工业化国家
United Kingdom,GBR,63006482.0,9709.0,worldsteel-SSY2012,382.06,OWID-Ember2010,154.09525642139488,6063.82054468618,1.9011932772250324,2.534924369633376,7.60477310890013,15.20954621780026,后工业化国家
Italy,ITA,60164212.0,25750.0,worldsteel-SSY2012,296.63,OWID-Ember2010,427.9953005949783,4930.339651086929,2.3025731642591776,3.0700975523455707,9.21029265703671,18.42058531407342,后工业化国家
South Africa,ZAF,52344047.0,7617.0,worldsteel-SSY2012,259.59,OWID-Ember2010,145.51798029678523,4959.303204049163,1.6036207517542538,2.1381610023390047,6.414483007017015,12.82896601403403,工业化中后期国家
Myanmar,MMR,49024376.0,25.0,worldsteel-SSY2012,8.62,OWID-Ember2010,0.5099503969209114,175.83089685833022,0.04523260020688483,0.06031013360917978,0.18093040082753933,0.36186080165507867,准备工业化国家
