code,entity,pop2055,cat2040,cat2055,promoted
IND,India,1694328247.0,工业化中后期国家,成熟工业化国家,True
CHN,China,1202342470.0,后工业化国家,后工业化国家,False
PAK,Pakistan,393743574.0,工业化起步国家,工业化中期国家,True
USA,United States,384894298.0,后工业化国家,后工业化国家,False
NGA,Nigeria,380268498.0,工业化起步国家,工业化中期国家,True
IDN,Indonesia,322341989.0,工业化中期国家,成熟工业化国家,True
ETH,Ethiopia,243110905.0,准备工业化国家,工业化中期国家,True
COD,Democratic Republic of Congo,242361215.0,准备工业化国家,工业化起步国家,True
BGD,Bangladesh,219497454.0,工业化起步国家,工业化中期国家,True
BRA,Brazil,214791956.0,成熟工业化国家,成熟工业化国家,False
EGY,Egypt,168531681.0,工业化中期国家,工业化中后期国家,True
MEX,Mexico,149794542.0,工业化中后期国家,成熟工业化国家,True
TZA,Tanzania,143049422.0,工业化起步国家,工业化中期国家,True
PHL,Philippines,135139130.0,工业化中期国家,工业化中后期国家,True
RUS,Russia,134648657.0,成熟工业化国家,后工业化国家,True
VNM,Vietnam,109478381.0,成熟工业化国家,成熟工业化国家,False
IRN,Iran,101897121.0,成熟工业化国家,成熟工业化国家,False
JPN,Japan,101721354.0,后工业化国家,后工业化国家,False
SDN,Sudan,92037875.0,准备工业化国家,工业化起步国家,True
UGA,Uganda,91729146.0,工业化起步国家,工业化中期国家,True
TUR,Turkey,90401567.0,成熟工业化国家,后工业化国家,True
KEN,Kenya,87732156.0,工业化起步国家,工业化中期国家,True
AFG,Afghanistan,83578886.0,准备工业化国家,工业化起步国家,True
AGO,Angola,82392215.0,工业化起步国家,工业化中期国家,True
ZAF,South Africa,81427428.0,工业化中后期国家,成熟工业化国家,True
DEU,Germany,76970310.0,后工业化国家,后工业化国家,False
YEM,Yemen,76722922.0,准备工业化国家,工业化起步国家,True
IRQ,Iraq,76363104.0,工业化中后期国家,成熟工业化国家,True
GBR,United Kingdom,75921059.0,后工业化国家,后工业化国家,False
MOZ,Mozambique,69093710.0,工业化起步国家,工业化中期国家,True
FRA,France,68067631.0,后工业化国家,后工业化国家,False
THA,Thailand,64274511.0,工业化中后期国家,成熟工业化国家,True
DZA,Algeria,61368723.0,工业化中期国家,工业化中后期国家,True
CIV,Cote d'Ivoire,60815800.0,工业化起步国家,工业化中期国家,True
COL,Colombia,59252861.0,工业化中期国家,工业化中期国家,False
MMR,Myanmar,58408060.0,工业化起步国家,工业化中期国家,True
NER,Niger,57670445.0,准备工业化国家,工业化起步国家,True
MDG,Madagascar,57313029.0,准备工业化国家,工业化起步国家,True
CMR,Cameroon,55557084.0,准备工业化国家,工业化起步国家,True
UZB,Uzbekistan,55185070.0,工业化中期国家,工业化中后期国家,True
GHA,Ghana,53257058.0,工业化起步国家,工业化中期国家,True
MLI,Mali,50506618.0,准备工业化国家,工业化起步国家,True
SAU,Saudi Arabia,50203316.0,成熟工业化国家,成熟工业化国家,False
ITA,Italy,49842499.0,后工业化国家,后工业化国家,False
ARG,Argentina,48122228.0,工业化中期国家,成熟工业化国家,True
CAN,Canada,46357072.0,后工业化国家,后工业化国家,False
MYS,Malaysia,45219589.0,成熟工业化国家,成熟工业化国家,False
MAR,Morocco,43707694.0,工业化中期国家,工业化中后期国家,True
ESP,Spain,43702729.0,后工业化国家,后工业化国家,False
TCD,Chad,42754653.0,准备工业化国家,工业化起步国家,True
KOR,South Korea,42632674.0,后工业化国家,后工业化国家,False
ZMB,Zambia,41298198.0,工业化起步国家,工业化中期国家,True
PER,Peru,41165327.0,工业化中期国家,工业化中期国家,False
SOM,Somalia,41010257.0,准备工业化国家,工业化起步国家,True
MWI,Malawi,40357518.0,准备工业化国家,工业化起步国家,True
BFA,Burkina Faso,39594571.0,准备工业化国家,工业化起步国家,True
SYR,Syria,39368395.0,工业化起步国家,工业化中期国家,True
NPL,Nepal,35231721.0,工业化起步国家,工业化中期国家,True
AUS,Australia,33539311.0,后工业化国家,后工业化国家,False
SEN,Senegal,32611140.0,工业化起步国家,工业化中期国家,True
POL,Poland,31520110.0,后工业化国家,后工业化国家,False
VEN,Venezuela,31198436.0,工业化中期国家,工业化中后期国家,True
UKR,Ukraine,30184825.0,成熟工业化国家,成熟工业化国家,False
KAZ,Kazakhstan,27579344.0,成熟工业化国家,成熟工业化国家,False
ZWE,Zimbabwe,27563871.0,工业化起步国家,工业化中期国家,True
BEN,Benin,26386126.0,准备工业化国家,工业化起步国家,True
BDI,Burundi,25984929.0,准备工业化国家,工业化起步国家,True
GTM,Guatemala,25489384.0,工业化起步国家,工业化中期国家,True
PRK,North Korea,25274088.0,工业化起步国家,工业化中期国家,True
GIN,Guinea,24929832.0,工业化起步国家,工业化中期国家,True
LKA,Sri Lanka,24784168.0,工业化起步国家,工业化中期国家,True
RWA,Rwanda,24159452.0,工业化起步国家,工业化中期国家,True
KHM,Cambodia,22452159.0,工业化起步国家,工业化中期国家,True
ECU,Ecuador,21590752.0,工业化中期国家,工业化中期国家,False
CHL,Chile,19998266.0,成熟工业化国家,成熟工业化国家,False
SSD,South Sudan,19359462.0,准备工业化国家,工业化起步国家,True
NLD,Netherlands,18831088.0,后工业化国家,后工业化国家,False
