entity,code,pop2024,steel_kt,steel_src,elec_twh,elec_src,pc_steel_kg,pc_elec_kwh,s_mature,s_late,s_mid,s_start,category
India,IND,1450935785.0,149400.0,worldsteel2024,2036.52,OWID2024,102.96803038736824,1403.5907178345594,0.6083177554270605,0.8110903405694139,2.433271021708242,4.866542043416484,工业化中期国家
China,CHN,1419321284.0,1005100.0,worldsteel2024,10086.88,OWID2024,708.1553777361659,7106.833465903271,3.5470968108162326,4.7294624144216435,14.18838724326493,28.37677448652986,成熟工业化国家
United States,USA,345426566.0,79500.0,worldsteel2024,4391.02,OWID2024,230.15021954043917,12711.876943477475,3.7533447847204666,5.004459712960622,15.013379138881866,30.026758277763733,后工业化国家
Indonesia,IDN,283487933.0,18600.0,worldsteel2024,371.54,OWID2024,65.61125831059624,1310.6025221891896,0.491678776323788,0.6555717017650506,1.966715105295152,3.933430210590304,工业化起步国家
Pakistan,PAK,251269160.0,4100.0,worldsteel2024,174.96,OWID2024,16.317163634407024,696.3051096282568,0.21486918649308173,0.2864922486574423,0.8594767459723269,1.7189534919446539,准备工业化国家
Nigeria,NGA,232679482.0,1200.0,worldsteel2024,37.56,OWID2024,5.157309057444094,161.42377349800014,0.053249216018110265,0.07099895469081369,0.21299686407244106,0.4259937281448821,准备工业化国家
Brazil,BRA,211998565.0,33900.0,worldsteel2024,745.72,OWID2024,159.90674276498052,3517.570979784698,1.2791596018586258,1.7055461358115012,5.116638407434503,10.233276814869006,工业化中期国家
Bangladesh,BGD,173562366.0,4500.0,worldsteel2024,101.74,OWID2024,25.927279650013528,586.1869847983058,0.2113649453246103,0.28181992709948034,0.8454597812984412,1.6909195625968825,准备工业化国家
Russia,RUS,144820421.0,71000.0,worldsteel2024,1209.31,OWID2024,490.2623505009698,8350.410747666589,3.3132585631690716,4.417678084225429,13.253034252676287,26.506068505352573,成熟工业化国家
Ethiopia,ETH,132059770.0,0.0,无产量(两源均无),25.2,OWID2024,0.0,190.82268581870164,0.047705671454675413,0.06360756193956721,0.19082268581870165,0.3816453716374033,准备工业化国家
Mexico,MEX,130861001.0,13800.0,worldsteel2024,355.18,OWID2024,105.45540607625338,2714.177618127803,0.9421829197225842,1.2562438929634456,3.7687316788903367,7.537463357780673,工业化中期国家
Japan,JPN,123753041.0,84000.0,worldsteel2024,1016.39,OWID2024,678.7711988427016,8213.050699901589,3.7501906720821507,5.000254229442868,15.000762688328603,30.001525376657206,后工业化国家
Egypt,EGY,116538256.0,10700.0,worldsteel2024,237.39,OWID2024,91.81534345253974,2037.0134936634026,0.7387917320472,0.9850556427296,2.9551669281888,5.9103338563776,工业化中期国家
Philippines,PHL,115843663.0,1800.0,worldsteel2024,124.17,OWID2024,15.538182697140714,1071.8756363910902,0.3068143658406243,0.40908582112083247,1.2272574633624973,2.4545149267249946,工业化起步国家
Democratic Republic of Congo,COD,109276264.0,30.0,BGS 2024 est,15.92,OWID2024,0.27453354371631883,145.68580053212654,0.03710778399232243,0.049477045323096575,0.14843113596928972,0.29686227193857945,准备工业化国家
Vietnam,VNM,100987685.0,22000.0,worldsteel2024,303.58,OWID2024,217.8483445778562,3006.1091112247996,1.2961481392508403,1.7281975190011205,5.184592557003361,10.369185114006722,工业化中期国家
