code,entity,category,annual_nom,annual_ppp,wiki_name,eff,note
IND,India,工业化中期国家,674.0,2516.0,India,2015,
CHN,China,成熟工业化国家,3014.0,5619.0,China,1 Jan 2025,
USA,United States,后工业化国家,15080.0,15080.0,United States,1 Jan 2025,
IDN,Indonesia,工业化起步国家,2449.0,6917.0,Indonesia,1 Feb 2020,
PAK,Pakistan,准备工业化国家,2762.0,6881.0,Pakistan,1 June 2026,
NGA,Nigeria,准备工业化国家,2103.0,2641.0,Nigeria,1 May 2024,
BRA,Brazil,工业化中期国家,3910.0,8163.0,Brazil,1 Jan 2026,
BGD,Bangladesh,准备工业化国家,212.0,515.0,Bangladesh,1 Dec 2013,
RUS,Russia,成熟工业化国家,4414.0,,Russia,1 Jan 2026,
ETH,Ethiopia,准备工业化国家,,,Ethiopia,2017,无法定最低工资/无数据
MEX,Mexico,工业化中期国家,5020.0,8998.0,Mexico,2025,
JPN,Japan,后工业化国家,19388.0,20591.0,Japan,31 Mar 2026,
EGY,Egypt,工业化中期国家,,,Egypt,1 Mar 2025,无法定最低工资/无数据
PHL,Philippines,工业化起步国家,3405.0,8167.0,Philippines,18 July 2025,
COD,Democratic Republic of Congo,准备工业化国家,220.0,,Democratic Republic of the Congo,1 Jan 2009,
VNM,Vietnam,工业化中期国家,2751.0,,Vietnam,1 Jan 2026,
IRN,Iran,工业化中后期国家,1747.0,,Iran,20 Mar 2024,
TUR,Turkey,成熟工业化国家,,,,,维基表未列该国
DEU,Germany,后工业化国家,41033.0,48262.0,Germany,1 Jan 2026,
THA,Thailand,工业化中期国家,3733.0,11257.0,Thailand,1 Jan 2023,
GBR,United Kingdom,后工业化国家,36215.0,37685.0,United Kingdom,1 Apr 2025,
TZA,Tanzania,准备工业化国家,209.0,726.0,Tanzania,1 July 2013,
FRA,France,后工业化国家,25572.0,29518.0,France,1 Jan 2025,
ZAF,South Africa,工业化中期国家,4786.0,9139.0,South Africa,1 Mar 2026,
ITA,Italy,后工业化国家,,,Italy,2019,无法定最低工资/无数据
KEN,Kenya,准备工业化国家,,,,,维基表未列该国
MMR,Myanmar,准备工业化国家,691.0,,Myanmar,1 Sep 2015,
