code,entity,category,monthly_usd,src,pop2024
IND,India,工业化中期国家,56.166666666666664,维基年度名义US$/12,1450935785.0
CHN,China,成熟工业化国家,251.16666666666666,维基年度名义US$/12,1419321284.0
USA,United States,后工业化国家,1256.6666666666667,维基年度名义US$/12,345426566.0
IDN,Indonesia,工业化起步国家,204.08333333333334,维基年度名义US$/12,283487933.0
PAK,Pakistan,准备工业化国家,230.16666666666666,维基年度名义US$/12,251269160.0
NGA,Nigeria,准备工业化国家,175.25,维基年度名义US$/12,232679482.0
BRA,Brazil,工业化中期国家,325.8333333333333,维基年度名义US$/12,211998565.0
BGD,Bangladesh,准备工业化国家,17.666666666666668,维基年度名义US$/12,173562366.0
RUS,Russia,成熟工业化国家,367.8333333333333,维基年度名义US$/12,144820421.0
ETH,Ethiopia,准备工业化国家,,,132059770.0
MEX,Mexico,工业化中期国家,418.3333333333333,维基年度名义US$/12,130861001.0
JPN,Japan,后工业化国家,1615.6666666666667,维基年度名义US$/12,123753041.0
EGY,Egypt,工业化中期国家,,,116538256.0
PHL,Philippines,工业化起步国家,283.75,维基年度名义US$/12,115843663.0
COD,Democratic Republic of Congo,准备工业化国家,18.333333333333332,维基年度名义US$/12,109276264.0
VNM,Vietnam,工业化中期国家,229.25,维基年度名义US$/12,100987685.0
IRN,Iran,工业化中后期国家,145.58333333333334,维基年度名义US$/12,91567737.0
TUR,Turkey,成熟工业化国家,609.75,"维基同页2023/2024年表：2024名义年度7,317US$",87473800.0
DEU,Germany,后工业化国家,3419.4166666666665,维基年度名义US$/12,84552234.0
THA,Thailand,工业化中期国家,311.0833333333333,维基年度名义US$/12,71668010.0
GBR,United Kingdom,后工业化国家,3017.9166666666665,维基年度名义US$/12,69138185.0
TZA,Tanzania,准备工业化国家,17.416666666666668,维基年度名义US$/12,68560162.0
FRA,France,后工业化国家,2131.0,维基年度名义US$/12,66548532.0
ZAF,South Africa,工业化中期国家,398.8333333333333,维基年度名义US$/12,64007187.0
ITA,Italy,后工业化国家,,,59342870.0
KEN,Kenya,准备工业化国家,124.16666666666667,"2024年11月起内罗毕等大城市一般工人16,113.75先令/月，折年193,365先令÷2024均价≈129.9先令/US$",56432946.0
MMR,Myanmar,准备工业化国家,57.583333333333336,维基年度名义US$/12,54500086.0
COL,Colombia,工业化起步国家,469.8333333333333,维基年度名义US$/12,52886360.0
KOR,South Korea,后工业化国家,1749.1666666666667,维基年度名义US$/12,51717587.0
SDN,Sudan,准备工业化国家,1.0833333333333333,维基年度名义US$/12,50448960.0
UGA,Uganda,准备工业化国家,35.5,维基年度名义US$/12,50015091.0
ESP,Spain,后工业化国家,1454.75,维基年度名义US$/12,47910533.0
DZA,Algeria,工业化中期国家,177.66666666666666,维基年度名义US$/12,46814302.0
IRQ,Iraq,工业化中期国家,172.41666666666666,维基年度名义US$/12,46042015.0
ARG,Argentina,工业化中期国家,272.0,"2024年12月SMVM 279,718比索/月，官方汇率折US$272",45696153.0
AFG,Afghanistan,准备工业化国家,71.5,维基年度名义US$/12,42647502.0
YEM,Yemen,准备工业化国家,,,40583173.0
CAN,Canada,后工业化国家,2010.6666666666667,维基年度名义US$/12,39742429.0
POL,Poland,工业化中后期国家,1245.0833333333333,维基年度名义US$/12,38539209.0
MAR,Morocco,工业化起步国家,333.0833333333333,维基年度名义US$/12,38081176.0
AGO,Angola,准备工业化国家,55.25,维基年度名义US$/12,37885854.0
UKR,Ukraine,工业化中期国家,316.8333333333333,维基年度名义US$/12,37860221.0
UZB,Uzbekistan,工业化中期国家,86.75,维基年度名义US$/12,36361859.0
MYS,Malaysia,成熟工业化国家,362.3333333333333,维基年度名义US$/12,35557670.0
MOZ,Mozambique,准备工业化国家,75.5,维基年度名义US$/12,34631767.0
GHA,Ghana,准备工业化国家,67.83333333333333,维基年度名义US$/12,34427417.0
PER,Peru,工业化中期国家,291.25,维基年度名义US$/12,34217850.0
SAU,Saudi Arabia,成熟工业化国家,1066.6666666666667,维基年度名义US$/12,33962751.0
MDG,Madagascar,准备工业化国家,31.333333333333332,维基年度名义US$/12,31964960.0
CIV,Cote d'Ivoire,准备工业化国家,66.0,维基年度名义US$/12,31934229.0
NPL,Nepal,准备工业化国家,165.5,维基年度名义US$/12,29651054.0
CMR,Cameroon,准备工业化国家,65.41666666666667,维基年度名义US$/12,29123748.0
VEN,Venezuela,工业化中期国家,0.86,维基年度名义US$/12,28405544.0
NER,Niger,准备工业化国家,54.166666666666664,维基年度名义US$/12,27032417.0
AUS,Australia,后工业化国家,2984.1666666666665,维基年度名义US$/12,26713206.0
PRK,North Korea,工业化起步国家,,,26498832.0
SYR,Syria,工业化起步国家,8.0,维基年度名义US$/12,24672758.0
MLI,Mali,准备工业化国家,51.333333333333336,维基年度名义US$/12,24478597.0
BFA,Burkina Faso,准备工业化国家,62.5,维基年度名义US$/12,23548782.0
TWN,Taiwan,后工业化国家,997.75,维基年度名义US$/12,23213964.0
LKA,Sri Lanka,准备工业化国家,135.75,维基年度名义US$/12,23103561.0
MWI,Malawi,准备工业化国家,22.166666666666668,维基年度名义US$/12,21655288.0
ZMB,Zambia,准备工业化国家,49.666666666666664,维基年度名义US$/12,21314962.0
KAZ,Kazakhstan,工业化中后期国家,181.1,"2024年最低工资85,000坚戈/月÷2024均价≈468.6坚戈/US$",20592574.0
TCD,Chad,准备工业化国家,108.16666666666667,维基年度名义US$/12,20299131.0
CHL,Chile,工业化中期国家,697.0,维基年度名义US$/12,19764774.0
ROU,Romania,工业化中期国家,973.5833333333334,维基年度名义US$/12,19015096.0
SOM,Somalia,准备工业化国家,,,19009155.0
SEN,Senegal,准备工业化国家,57.166666666666664,维基年度名义US$/12,18501988.0
GTM,Guatemala,准备工业化国家,327.0,维基年度名义US$/12,18406366.0
NLD,Netherlands,后工业化国家,3015.5833333333335,维基年度名义US$/12,18228740.0
ECU,Ecuador,工业化中期国家,593.6666666666666,维基年度名义US$/12,18135478.0
KHM,Cambodia,准备工业化国家,,,17638804.0
ZWE,Zimbabwe,准备工业化国家,,,16634366.0
GIN,Guinea,准备工业化国家,,,14754779.0
BEN,Benin,准备工业化国家,72.08333333333333,维基年度名义US$/12,14462721.0
RWA,Rwanda,准备工业化国家,,,14256573.0
BDI,Burundi,准备工业化国家,,,14047788.0
BOL,Bolivia,工业化起步国家,391.9166666666667,维基年度名义US$/12,12413318.0
TUN,Tunisia,工业化起步国家,166.66666666666666,维基年度名义US$/12,12277103.0
SSD,South Sudan,准备工业化国家,,,11943410.0
HTI,Haiti,准备工业化国家,84.5,维基年度名义US$/12,11772562.0
BEL,Belgium,后工业化国家,2400.75,维基年度名义US$/12,11738761.0
JOR,Jordan,工业化中期国家,450.6666666666667,维基年度名义US$/12,11552885.0
DOM,Dominican Republic,工业化中期国家,217.75,维基年度名义US$/12,11427558.0
ARE,United Arab Emirates,成熟工业化国家,,,11027135.0
CUB,Cuba,工业化起步国家,3.6666666666666665,维基年度名义US$/12,10979781.0
HND,Honduras,工业化起步国家,403.5,维基年度名义US$/12,10825704.0
CZE,Czechia,后工业化国家,829.9166666666666,维基年度名义US$/12,10735857.0
SWE,Sweden,后工业化国家,,,10606993.0
TJK,Tajikistan,工业化中期国家,88.41666666666667,维基年度名义US$/12,10590930.0
PNG,Papua New Guinea,准备工业化国家,173.83333333333334,维基年度名义US$/12,10576509.0
PRT,Portugal,后工业化国家,969.8333333333334,维基年度名义US$/12,10425291.0
AZE,Azerbaijan,工业化中期国家,202.91666666666666,维基年度名义US$/12,10336577.0
GRC,Greece,后工业化国家,1144.8333333333333,维基年度名义US$/12,10047813.0
ISR,Israel,后工业化国家,1995.0,维基年度名义US$/12,9387015.0
