wiki_name,annual_nom,annual_ppp,workweek,eff
Afghanistan,858.0,,40.0,2017
Albania,4637.0,10187.0,40.0,1 Jan 2026
Algeria,2132.0,6900.0,40.0,1 January 2026
Andorra,18253.0,13493.0,40.0,1 Jan 2023
Angola,663.0,1149.0,44.0,2022
Antigua and Barbuda,6317.0,7783.0,40.0,1 Nov 2014
Armenia,1787.0,5677.0,40.0,15 Nov 2022
Australia,35810.0,32519.0,38.0,1 July 2024
Austria,,,40.0,2017
Azerbaijan,2435.0,7625.0,40.0,5 Jan 2023[26]
The Bahamas,10920.0,,40.0,15 Aug 2015
Bahrain,,,48.0,2017
Bangladesh,212.0,515.0,48.0,1 Dec 2013
Barbados,10920.0,,40.0,1 June 2025
Belarus,0.0,7834.0,40.0,1 Jan 2023
Belgium,28809.0,31562.0,38.0,1 April 2024
Belize,5850.0,10757.0,45.0,22 July 2022
Benin,865.0,2447.0,40.0,1 Jan 2023
Bhutan,609.0,2138.0,40.0,1 Feb 2014
Bolivia,4703.0,12040.0,48.0,1 May 2024
Bosnia and Herzegovina,3949.0,8473.0,40.0,2022
Botswana,1933.0,4036.0,48.0,2022
Brazil,3910.0,8163.0,44.0,1 Jan 2026
Brunei,,,,2017
Bulgaria,8181.0,32558.0,40.0,1 Jan 2025
Burkina Faso,750.0,2154.0,40.0,1 Apr 2012
Burundi,,,40.0,2017
Cambodia,,,48.0,3 Oct 2023
Cameroon,785.0,2082.0,40.0,30 July 2014
Canada,24128.0,23927.0,40.0,1 June 2022
Cape Verde,1673.0,,44.0,1 Jan 2018
Central African Republic,821.0,1757.0,40.0,2011
Chad,1298.0,3232.0,39.0,18 Oct 2011
Chile,8364.0,13038.0,42.0,1 May 2025
China,3014.0,5619.0,40.0,1 Jan 2025
Colombia,5638.0,12671.0,48.0,1 Jan 2025
Comoros,1587.0,2601.0,40.0,2017
Democratic Republic of the Congo,220.0,,45.0,1 Jan 2009
Republic of the Congo,1948.0,,40.0,2017
Costa Rica,6932.0,13681.0,48.0,1 Jan 2024
Côte d'Ivoire,792.0,,40.0,2013
Croatia,1585.0,19356.0,40.0,1 Jan 2024
Cuba,44.0,669.0,48.0,2021
Cyprus,,,48.0,2017
