entity,code,pop1990,pop2000,pop2012,pop2024,is_country
Afghanistan,AFG,12045664.0,20130334.0,30560036.0,42647502.0,True
Africa,OWID_AFR,643490587.0,830226481.0,1128396676.0,1514032368.0,False
Africa (UN),UN_AFR,643775035.0,830582526.0,1128843458.0,1515140850.0,False
Albania,ALB,3277965.0,3166147.0,2910003.0,2791756.0,True
Algeria,DZA,25375815.0,30903894.0,37646165.0,46814302.0,True
American Samoa,ASM,46659.0,56877.0,54506.0,46792.0,False
Andorra,AND,52616.0,65703.0,76858.0,81955.0,False
Angola,AGO,11626361.0,16194873.0,25177398.0,37885854.0,True
Anguilla,AIA,8422.0,11196.0,13401.0,14623.0,False
Antigua and Barbuda,ATG,63087.0,74929.0,87275.0,93782.0,False
Argentina,ARG,32755907.0,37213986.0,42161718.0,45696153.0,True
Armenia,ARM,3552130.0,3125630.0,2922529.0,2973843.0,True
Aruba,ABW,64452.0,88772.0,101774.0,108076.0,False
Asia,OWID_ASI,3209094423.0,3746832777.0,4338443538.0,4805539800.0,False
Asia (UN),UN_ASI,3209882606.0,3747780310.0,4339608811.0,4806898011.0,False
Australia,AUS,17126304.0,19132472.0,22852648.0,26713206.0,True
Austria,AUT,7679627.0,8012929.0,8431599.0,9120815.0,True
Azerbaijan,AZE,7231084.0,8174784.0,9376179.0,10336577.0,True
Bahamas,BHS,275954.0,323846.0,375474.0,401282.0,True
Bahrain,BHR,514799.0,669589.0,1216307.0,1607059.0,False
Bangladesh,BGD,111633722.0,134544303.0,155070110.0,173562366.0,True
Barbados,BRB,258583.0,262071.0,276949.0,282476.0,False
Belarus,BLR,10186258.0,9991310.0,9463075.0,9056696.0,True
Belgium,BEL,9960968.0,10251719.0,11107522.0,11738761.0,True
Belize,BLZ,183090.0,240809.0,334421.0,417077.0,True
Benin,BEN,5281482.0,7221618.0,10397659.0,14462721.0,True
Bermuda,BMU,57584.0,61569.0,63665.0,64660.0,False
Bhutan,BTN,589295.0,596871.0,717288.0,791530.0,True
Bolivia,BOL,7130143.0,8606330.0,10515814.0,12413318.0,True
Bonaire Sint Eustatius and Saba,BES,12958.0,14256.0,22847.0,30699.0,False
Bosnia and Herzegovina,BIH,4448658.0,4159785.0,3670109.0,3164256.0,True
Botswana,BWA,1305699.0,1677384.0,2108617.0,2521145.0,True
Brazil,BRA,149143223.0,174018278.0,196876113.0,211998565.0,True
British Virgin Islands,VGB,15727.0,20266.0,30369.0,39498.0,False
Brunei,BRN,255307.0,326429.0,405564.0,462734.0,True
Bulgaria,BGR,8822366.0,8000519.0,7317020.0,6757686.0,True
Burkina Faso,BFA,9159358.0,11925548.0,17172284.0,23548782.0,True
Burundi,BDI,5587051.0,6470196.0,10071033.0,14047788.0,True
Cambodia,KHM,7374754.0,12462343.0,14945090.0,17638804.0,True
Cameroon,CMR,11331827.0,14912632.0,20809530.0,29123748.0,True
Canada,CAN,27789437.0,30891800.0,34922513.0,39742429.0,True
Cape Verde,CPV,375437.0,453335.0,511966.0,524878.0,False
Cayman Islands,CYM,26023.0,39699.0,57155.0,74476.0,False
Central African Republic,CAF,2871915.0,3833421.0,4610848.0,5330691.0,True
Chad,TCD,5982838.0,8512092.0,13211006.0,20299131.0,True
Chile,CHL,13437181.0,15503638.0,17519116.0,19764774.0,True
China,CHN,1153582725.0,1269581174.0,1369520866.0,1419321284.0,True
Colombia,COL,32440064.0,39089939.0,45715807.0,52886360.0,True
Comoros,COM,444601.0,536084.0,681637.0,866632.0,False
Congo,COG,2380562.0,3151349.0,4740457.0,6332969.0,True
Cook Islands,COK,17146.0,15876.0,17690.0,13750.0,False
Costa Rica,CRI,3121707.0,3937737.0,4663930.0,5129909.0,True
Cote d'Ivoire,CIV,12189780.0,17699007.0,23467083.0,31934229.0,True
Croatia,HRV,4835067.0,4326105.0,4259233.0,3875325.0,True
Cuba,CUB,10631796.0,11109112.0,11303172.0,10979781.0,True
Curacao,CUW,155750.0,145540.0,160904.0,185482.0,False
Cyprus,CYP,788355.0,947667.0,1165403.0,1358287.0,True
Czechia,CZE,10301989.0,10236809.0,10507339.0,10735857.0,True
Czechoslovakia,OWID_CZS,15570000.0,,,,False
Democratic Republic of Congo,COD,36684065.0,50507445.0,73254623.0,109276264.0,True
Denmark,DNK,5141024.0,5339659.0,5591911.0,5977417.0,True
Djibouti,DJI,579544.0,747326.0,966754.0,1168726.0,True
Dominica,DMA,69644.0,68527.0,69138.0,66226.0,False
Dominican Republic,DOM,7151165.0,8584196.0,10070409.0,11427558.0,True
East Germany,OWID_GDR,16110000.0,,,,False
East Timor,TLS,760348.0,745095.0,1134891.0,1400638.0,True
Ecuador,ECU,10473674.0,12689215.0,15572195.0,18135478.0,True
Egypt,EGY,58396625.0,73083287.0,93161000.0,116538256.0,True
El Salvador,SLV,5399728.0,5943363.0,6113977.0,6338197.0,True
Equatorial Guinea,GNQ,474289.0,703287.0,1293485.0,1892523.0,True
Eritrea,ERI,2032749.0,2247036.0,3036998.0,3535610.0,True
Estonia,EST,1570309.0,1397001.0,1322615.0,1360548.0,True
Eswatini,SWZ,872436.0,1041428.0,1123870.0,1242829.0,True
Ethiopia,ETH,47609760.0,67411496.0,95798771.0,132059770.0,True
Ethiopia (former),OWID_ERE,51190000.0,,,,False
Europe,OWID_EUR,724943715.0,729129967.0,741642607.0,746460441.0,False
Europe (UN),UN_EUR,724139398.0,728164201.0,740458840.0,745083826.0,False
European Union (27),OWID_EU27,419997519.0,427627361.0,441999248.0,450259560.0,False
Falkland Islands,FLK,2368.0,3119.0,3223.0,3492.0,True
Faroe Islands,FRO,47525.0,45687.0,48113.0,55419.0,False
Fiji,FJI,773325.0,840913.0,914920.0,928800.0,True
Finland,FIN,4986576.0,5176197.0,5413978.0,5617311.0,True
France,FRA,56990239.0,59483716.0,64058465.0,66548532.0,True
French Guiana,GUF,112699.0,160633.0,245784.0,308538.0,False
French Polynesia,PYF,203780.0,240346.0,273092.0,281816.0,False
Gabon,GAB,983740.0,1275578.0,1846893.0,2538953.0,True
Gambia,GMB,1054703.0,1455095.0,2043097.0,2759999.0,True
Georgia,GEO,5448865.0,4328361.0,3839208.0,3807668.0,True
Germany,DEU,79707963.0,81797255.0,80916391.0,84552234.0,True
Ghana,GHA,15394650.0,19637085.0,26734273.0,34427417.0,True
Gibraltar,GIB,27223.0,27734.0,32054.0,39351.0,False
Greece,GRC,10258494.0,10782638.0,11048291.0,10047813.0,True
Greenland,GRL,55650.0,56228.0,56797.0,55864.0,True
Grenada,GRD,99973.0,107466.0,112792.0,117218.0,False
Guadeloupe,GLP,388820.0,419565.0,409153.0,375113.0,False
Guam,GUM,138623.0,160078.0,166348.0,167790.0,False
Guatemala,GTM,9024775.0,11697592.0,15089639.0,18406366.0,True
Guernsey,GGY,58921.0,60295.0,61881.0,64306.0,False
Guinea,GIN,6434383.0,8428837.0,10921580.0,14754779.0,True
Guinea-Bissau,GNB,973678.0,1234747.0,1651425.0,2201360.0,True
Guyana,GUY,749891.0,764836.0,746296.0,831092.0,True
Haiti,HTI,6854444.0,8303151.0,10069770.0,11772562.0,True
High-income countries,OWID_HIC,1187956164.0,1253937735.0,1347506296.0,1420176158.0,False
Honduras,HND,4980493.0,6577781.0,8715081.0,10825704.0,True
Hong Kong,HKG,5560599.0,6704665.0,7201059.0,7414914.0,False
Hungary,HUN,10381280.0,10190598.0,9916621.0,9676135.0,True
Iceland,ISL,254842.0,281293.0,320851.0,393404.0,True
India,IND,864972221.0,1057922731.0,1278674501.0,1450935785.0,True
Indonesia,IDN,183501097.0,216077789.0,252698525.0,283487933.0,True
Iran,IRN,58380098.0,66418661.0,79370583.0,91567737.0,True
Iraq,IRQ,17581208.0,24424060.0,33654843.0,46042015.0,True
Ireland,IRL,3514015.0,3802589.0,4600135.0,5255016.0,True
Isle of Man,IMN,68943.0,75679.0,84354.0,84182.0,False
Israel,ISR,4544995.0,6111194.0,7607781.0,9387015.0,True
Italy,ITA,57031457.0,57272200.0,60531522.0,59342870.0,True
