ssy_name,code,steel_kt_1995
Japan,JPN,101640.0
China,CHN,95360.0
United States,USA,95191.0
Russia,RUS,51589.0
F.R. Germany,DEU,42051.0
South Korea,KOR,36772.0
Italy,ITA,27766.0
Brazil,BRA,25076.0
Ukraine,UKR,22309.0
India,IND,22003.0
France,FRA,18100.0
United Kingdom,GBR,17604.0
Canada,CAN,14415.0
Spain,ESP,13802.0
Turkey,TUR,13183.0
Mexico,MEX,12147.0
Poland,POL,11890.0
Belgium,BEL,11606.0
Chinese Taipei,TWN,11605.0
South Africa,ZAF,8741.0
Australia,AUS,8460.0
Czech Republic,CZE,7184.0
Romania,ROU,6555.0
Netherlands,NLD,6409.0
Sweden,SWE,4953.0
Iran,IRN,4696.0
Indonesia,IDN,4130.0
Argentina,ARG,3581.0
Venezuela,VEN,3568.0
Kazakhstan,KAZ,3028.0
Egypt,EGY,2642.0
Saudi Arabia,SAU,2451.0
Malaysia,MYS,2450.0
Thailand,THA,2134.0
Chile,CHL,1014.0
Pakistan,PAK,950.0
Greece,GRC,939.0
Philippines,PHL,923.0
Portugal,PRT,828.0
Algeria,DZA,827.0
Colombia,COL,714.0
D.P.R. Korea (e),PRK,600.0
Peru,PER,512.0
Uzbekistan,UZB,367.0
Viet Nam,VNM,271.0
Israel,ISR,220.0
Zimbabwe,ZWE,220.0
Cuba,CUB,207.0
Tunisia,TUN,201.0
Syria,SYR,70.0
United Arab Emirates,ARE,60.0
Bangladesh,BGD,36.0
Nigeria,NGA,36.0
Ecuador,ECU,35.0
Jordan,JOR,30.0
Zaire (e),COD,30.0
Uganda (e),UGA,30.0
Sri Lanka (e),LKA,30.0
Myanmar (e),MMR,25.0
Ghana,GHA,25.0
Azerbaijan,AZE,20.0
Kenya,KEN,20.0
Angola (e),AGO,9.0
Morocco,MAR,7.0
Dominican Republic,DOM,
Guatemala,GTM,
