page,name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
13,Austria,4149.0,4399.0,4990.0,4442.0,5181.0,5282.0,5202.0,5707.0,5869.0,6189.0
13,Belgium,10172.0,11331.0,11606.0,10818.0,10739.0,11425.0,10931.0,11636.0,10762.0,11343.0
13,Denmark,603.0,722.0,654.0,739.0,786.0,790.0,729.0,801.0,751.0,392.0
13,Finland,3256.0,3420.0,3176.0,3301.0,3734.0,3952.0,3956.0,4096.0,3938.0,4003.0
13,France,17106.0,18031.0,18100.0,17633.0,19767.0,20126.0,20200.0,20954.0,19343.0,20258.0
13,F.R. Germany,37625.0,40837.0,42051.0,39793.0,45007.0,44046.0,42062.0,46376.0,44803.0,45015.0
13,Greece,980.0,848.0,939.0,848.0,1016.0,1109.0,951.0,1088.0,1281.0,1840.0
13,Ireland,326.0,266.0,310.0,341.0,337.0,358.0,335.0,360.0,150.0,
13,Italy,25721.0,26151.0,27766.0,23910.0,25842.0,25714.0,24878.0,26759.0,26545.0,26066.0
13,Luxembourg,3293.0,3073.0,2613.0,2502.0,2580.0,2477.0,2600.0,2571.0,2725.0,2719.0
13,Netherlands,6000.0,6171.0,6409.0,6326.0,6641.0,6377.0,6075.0,5666.0,6037.0,6117.0
13,Portugal,775.0,749.0,828.0,857.0,905.0,936.0,1044.0,1088.0,728.0,920.0
13,Spain,12961.0,13445.0,13802.0,12154.0,13683.0,14827.0,14882.0,15874.0,16504.0,16408.0
13,Sweden,4591.0,4967.0,4953.0,4910.0,5148.0,5153.0,5066.0,5227.0,5518.0,5754.0
13,United Kingdom,16625.0,17286.0,17604.0,17992.0,18501.0,17315.0,16298.0,15155.0,13543.0,11665.0
13,European Union (15),144183.0,151696.0,155800.0,146565.0,159867.0,159888.0,155209.0,163358.0,158497.0,158689.0
13,Albania,19.0,19.0,22.0,23.0,22.0,22.0,16.0,5.0,5.0,
13,Bosnia-Herzegovina,,,,52.0,72.0,75.0,60.0,77.0,84.0,70.0
13,Bulgaria,1941.0,2491.0,2724.0,2457.0,2628.0,2242.0,1889.0,2022.0,1972.0,1860.0
13,Croatia,74.0,63.0,45.0,46.0,69.0,101.0,74.0,71.0,58.0,34.0
13,Czech Republic,6769.0,7085.0,7184.0,6509.0,6750.0,6498.0,5616.0,6216.0,6316.0,6512.0
13,Hungary,1753.0,1938.0,1861.0,1872.0,1690.0,1816.0,1813.0,1871.0,1956.0,2052.0
13,Macedonia,137.0,67.0,33.0,2.0,19.0,45.0,45.0,161.0,260.0,260.0
13,Norway,505.0,456.0,505.0,511.0,585.0,637.0,610.0,679.0,640.0,698.0
13,Poland,9939.0,11113.0,11890.0,10432.0,11585.0,9915.0,8848.0,10498.0,8809.0,8368.0
13,Romania,5446.0,5800.0,6555.0,6082.0,6674.0,6393.0,4354.0,4672.0,4935.0,5493.0
13,Slovak Republic,3922.0,3948.0,3975.0,3602.0,3835.0,3428.0,3569.0,3733.0,3989.0,4275.0
13,Slovenia,355.0,424.0,394.0,314.0,373.0,405.0,405.0,519.0,462.0,481.0
13,Switzerland,1254.0,1098.0,739.0,700.0,789.0,800.0,800.0,1000.0,1000.0,1000.0
13,Turkey,11519.0,12624.0,13183.0,13624.0,14475.0,14144.0,14313.0,14325.0,14981.0,16467.0
13,F.R. Yugoslavia,181.0,139.0,182.0,689.0,1025.0,980.0,230.0,696.0,595.0,591.0
13,Other Europe,43815.0,47266.0,49291.0,46914.0,50590.0,47501.0,42642.0,46545.0,46062.0,48161.0
13,Byelorussia,946.0,880.0,744.0,886.0,1219.0,1412.0,1448.0,1502.0,1486.0,1484.0
13,Armenia,0.0,0.0,,,,,,,,
13,Azerbaijan,236.0,40.0,20.0,20.0,25.0,8.0,,,,
13,Georgia,215.0,141.0,84.0,83.0,104.0,56.0,7.0,,,
13,Kazakhstan,4279.0,2969.0,3028.0,3216.0,3889.0,3121.0,4099.0,4769.0,4655.0,4814.0
