name,1980,1990,2000,2010,2011,2012,2023,2024,2025
Algeria,4.2,4.5,5.2,4.8,4.9,4.3,4.4,4.5,5.3
Argentina,2.7,3.6,4.5,5.1,5.7,5.0,4.9,3.9,4.0
Australia,7.6,6.6,7.1,7.3,6.4,4.9,5.3,4.7,5.2
Austria,4.6,4.3,5.7,7.2,7.5,7.4,7.1,7.1,7.6
Bahrain,,,,,,,1.3,1.2,1.2
Bangladesh,,,,,,,5.0,4.5,4.5
Belarus,,1.5,1.5,2.5,2.6,2.7,2.3,2.3,1.8
Belgium,12.3,11.5,11.6,8.1,8.1,7.4,5.9,7.1,7.2
Brazil,15.3,20.6,27.9,32.8,35.2,34.7,32.0,33.9,33.3
Bulgaria,2.57,2.18,2.02,0.74,0.84,0.63,,,
Canada,15.9,12.3,16.6,13.0,13.1,13.5,12.2,12.3,11.5
Chile,,,,,,,1.2,0.8,0.5
China,37.1,66.4,128.5,626.7,683.3,724.7,1028.9,1005.1,960.8
Colombia,,,,,,,1.4,1.3,1.4
Czech Republic,,9.7,6.2,5.2,5.6,5.1,3.4,2.5,2.5
Egypt,1.0,2.2,2.8,6.7,6.5,6.6,10.4,10.7,10.6
Finland,2.5,2.9,4.1,4.0,4.0,3.8,3.8,3.7,3.7
France,23.1,19.0,21.0,15.4,15.8,15.6,10.0,10.8,9.8
Germany,51.1,44.0,46.4,43.8,44.3,42.7,35.4,37.3,34.1
Greece,,,,,,,1.2,1.3,1.4
Hungary,3.76,2.96,1.87,1.68,1.75,1.54,,,
India,9.5,15.0,26.9,68.3,72.2,77.3,140.8,149.4,164.9
Indonesia,0.5,2.8,2.9,3.6,3.6,2.3,16.8,18.6,19.0
Iran,0.5,1.4,6.6,12.0,13.0,14.5,30.7,31.4,31.8
Iraq,0.7,0.8,1.1,1.5,2.0,2.0,2.8,3.0,3.0
Italy,26.5,25.5,26.8,25.8,28.7,27.2,21.1,20.0,20.7
Japan,111.4,110.3,106.4,109.6,107.6,107.2,87.0,84.0,80.7
Kazakhstan,,7.4,4.7,4.3,4.7,3.9,3.9,4.2,4.3
Kenya,,,,,,,1.4,1.8,1.8
Kuwait,,,,,,,1.0,1.0,1.1
Libya,,,,,,,0.9,0.9,1.1
Luxembourg,,,,,,,1.9,1.8,1.8
Malaysia,0.2,1.1,3.7,4.1,5.9,5.6,7.5,9.0,9.0
Mexico,7.1,8.7,15.6,17.0,18.1,18.1,16.4,13.8,13.5
Morocco,,,,,,,1.4,1.4,1.5
Netherlands,5.3,5.4,5.7,6.7,6.9,6.9,4.7,6.4,6.5
Nigeria,,,,,,,1.2,1.2,1.2
North Korea,5.8,7.0,1.5,1.3,1.3,1.28,,,
Oman,0.7,0.8,1.1,1.5,2.0,2.0,2.9,3.0,3.0
Others[14],,,,23.3,29.5,29.9,1.4,2.3,2.3
Pakistan,,0.8,1.0,1.4,1.6,1.6,5.3,4.1,3.6
Peru,,,,,,,1.6,1.6,1.6
Philippines,,,,,,,1.9,1.8,1.8
Poland,19.5,13.6,10.5,8.0,8.8,8.4,6.4,7.1,7.2
Portugal,,,,,,,2.0,1.9,2.1
Qatar,,,,,,,1.1,1.2,1.7
Romania,,,,,,,1.6,1.4,0.9
Russia,,89.6,59.1,66.9,68.7,70.6,76.0,71.0,67.8
Saudi Arabia,0.1,1.8,3.0,5.0,5.3,5.2,9.9,9.6,10.8
Serbia,,,,,,,1.5,1.4,1.4
Slovakia,,5.1,3.7,4.6,4.2,4.4,4.4,3.9,3.7
South Africa,9.1,8.7,8.5,8.5,6.7,7.1,5.0,4.7,4.5
South Korea,8.5,23.1,43.1,58.5,68.5,69.3,66.7,63.6,61.9
Spain,12.8,12.9,15.8,16.3,15.6,13.6,11.4,11.9,11.9
Sweden,4.2,4.5,5.2,4.8,4.9,4.3,4.3,4.0,4.0
Switzerland,,,,,,,1.2,1.2,1.2
Taiwan,,,,19.8,20.2,20.7,19.1,19.2,17.1
Thailand,0.5,0.7,2.1,3.7,4.2,3.3,5.0,4.9,5.0
Turkey,2.5,9.4,14.3,29.0,34.1,35.9,33.7,36.9,38.1
Ukraine,52.3,54.6,31.8,33.6,35.3,32.9,6.2,7.6,7.4
United Arab Emirates,,,0.1,0.5,2.0,2.4,3.8,3.7,3.8
United Kingdom,11.3,17.8,15.2,9.7,9.5,9.6,5.6,4.0,2.5
United States,101.4,89.7,101.8,80.6,86.2,88.6,81.4,79.5,82.0
Uzbekistan,,,,,,,1.0,1.0,1.0
Vietnam,0.1,0.1,0.3,2.7,4.9,5.3,19.2,22.0,24.7
